Start Location,"DIGI145"
End Location,"DIGI157"
Project,RL Viz Test
Start Date,8/3/2016 12:00 AM
End Date,12/31/2016 11:59 PM

Trip Distance(mi),25.63
Expected Travel Time(s),1651 (27:31)
Number of Trips,73563
Average Speed(mph),61.3
Average Travel Time(s),1505.5 (25:05)
Standard Deviation,443.5
15th Percentile Travel Time(s),1426 (23:46)
85th Percentile Travel Time(s),1676 (27:56)
95th Percentile Travel Time(s),2380 (39:40)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"8/5/2016 11:00:00 PM*",64.4,1433,8
"8/5/2016 11:15:00 PM",63.6,1451,8
"8/5/2016 11:30:00 PM*",65.4,1411,9
"8/5/2016 11:45:00 PM",62.2,1484,6
"8/6/2016 12:00:00 AM",67.4,1370,9
"8/6/2016 12:15:00 AM",63,1465,9
"8/6/2016 12:30:00 AM*",64.4,1434,7
"8/6/2016 12:45:00 AM",67.8,1361,5
"8/6/2016 1:00:00 AM*",63.5,1454,4
"8/6/2016 1:15:00 AM*",59.3,1557,2
"8/6/2016 1:30:00 AM*",33.9,2725,4
"8/6/2016 1:45:00 AM*",61.6,1498,3
"8/6/2016 2:00:00 AM*",62,1489,6
"8/6/2016 2:15:00 AM",65.5,1408,5
"8/6/2016 2:30:00 AM*",60.6,1522,2
"8/6/2016 2:45:00 AM*",58.4,1580,1
"8/6/2016 3:15:00 AM*",59.5,1551,2
"8/6/2016 3:45:00 AM*",59.2,1558,3
"8/6/2016 4:15:00 AM*",59.1,1561,1
"8/6/2016 4:30:00 AM*",59.2,1560,2
"8/6/2016 5:00:00 AM*",66.2,1394,4
"8/6/2016 5:15:00 AM*",55.5,1663,1
"8/6/2016 5:30:00 AM*",59.8,1543,1
"8/6/2016 5:45:00 AM*",58.5,1578,4
"8/6/2016 6:00:00 AM*",42,2199,3
"8/6/2016 6:15:00 AM*",66.1,1396,7
"8/6/2016 6:30:00 AM*",59.3,1557,3
"8/6/2016 6:45:00 AM",66.9,1380,9
"8/6/2016 7:00:00 AM",66.6,1386,13
"8/6/2016 7:15:00 AM",67.5,1368,17
"8/6/2016 7:30:00 AM",64,1441,11
"8/6/2016 7:45:00 AM",68.9,1339,20
"8/6/2016 8:00:00 AM",60.5,1525,21
"8/6/2016 8:15:00 AM",45.5,2030,18
"8/6/2016 8:30:00 AM",62.8,1470,20
"8/6/2016 8:45:00 AM",63.7,1449,32
"8/6/2016 9:00:00 AM",61.8,1493,25
"8/6/2016 9:15:00 AM*",65.4,1411,29
"8/6/2016 9:30:00 AM",53.4,1729,28
"8/6/2016 9:45:00 AM",44.8,2059,31
"8/6/2016 10:00:00 AM",40.6,2272,21
"8/6/2016 10:15:00 AM",38.8,2380,25
"8/6/2016 10:30:00 AM",39,2365,19
"8/6/2016 10:45:00 AM",36.3,2546,32
"8/6/2016 11:00:00 AM",26.9,3431,21
"8/6/2016 11:15:00 AM",32.5,2841,15
"8/6/2016 11:30:00 AM",36.1,2558,33
"8/6/2016 11:45:00 AM",34.5,2675,21
"8/6/2016 12:00:00 PM",31.5,2932,14
"8/6/2016 12:15:00 PM",25.3,3651,30
"8/6/2016 12:30:00 PM",32.5,2836,30
"8/6/2016 12:45:00 PM",29.5,3130,34
"8/6/2016 1:00:00 PM",33.9,2720,32
"8/6/2016 1:15:00 PM",27.9,3302,11
"8/6/2016 1:30:00 PM",29.8,3094,21
"8/6/2016 1:45:00 PM*",64.9,1422,32
"8/6/2016 2:00:00 PM*",62.1,1485,19
"8/6/2016 2:15:00 PM",31.4,2944,33
"8/6/2016 2:30:00 PM*",64.7,1427,26
"8/6/2016 2:45:00 PM",32.6,2834,27
"8/6/2016 3:00:00 PM",38.9,2371,26
"8/6/2016 3:15:00 PM",42.4,2178,22
"8/6/2016 3:30:00 PM*",65.8,1404,25
"8/6/2016 3:45:00 PM*",65.3,1414,18
"8/6/2016 4:00:00 PM",45.7,2021,18
"8/6/2016 4:15:00 PM",52.7,1751,16
"8/6/2016 4:30:00 PM",67.2,1373,15
"8/6/2016 4:45:00 PM*",64.8,1423,23
"8/6/2016 5:00:00 PM",70.8,1304,28
"8/6/2016 5:15:00 PM*",65.6,1407,17
"8/6/2016 5:30:00 PM*",64.5,1430,10
"8/6/2016 5:45:00 PM",64.4,1432,18
"8/6/2016 6:00:00 PM*",66.1,1396,13
"8/6/2016 6:15:00 PM*",64.8,1425,13
"8/6/2016 6:30:00 PM*",65.6,1407,15
"8/6/2016 6:45:00 PM*",64.8,1423,13
"8/6/2016 7:00:00 PM",66.1,1397,15
"8/6/2016 7:15:00 PM*",64.7,1426,12
"8/6/2016 7:30:00 PM",66.3,1393,9
"8/6/2016 7:45:00 PM*",63.9,1444,16
"8/6/2016 8:00:00 PM",63.9,1444,5
"8/6/2016 8:15:00 PM*",65.1,1418,7
"8/6/2016 8:30:00 PM",67.8,1361,15
"8/6/2016 8:45:00 PM*",64.2,1437,12
"8/6/2016 9:00:00 PM*",64,1441,6
"8/6/2016 9:15:00 PM*",65.3,1413,9
"8/6/2016 9:30:00 PM",57.7,1600,15
"8/6/2016 9:45:00 PM*",63.5,1454,12
"8/6/2016 10:00:00 PM*",64.8,1425,7
"8/6/2016 10:15:00 PM",62.3,1481,14
"8/6/2016 10:30:00 PM",62.8,1469,12
"8/6/2016 10:45:00 PM",57.9,1593,7
"8/6/2016 11:00:00 PM*",56.8,1626,5
"8/6/2016 11:15:00 PM*",65.6,1406,5
"8/6/2016 11:30:00 PM*",64.6,1429,8
"8/6/2016 11:45:00 PM*",60.1,1535,1
"8/7/2016 12:00:00 AM*",61.3,1507,3
"8/7/2016 12:15:00 AM*",59.6,1550,2
"8/7/2016 12:30:00 AM",65.1,1417,6
"8/7/2016 12:45:00 AM*",64.4,1433,5
"8/7/2016 1:00:00 AM*",60.7,1521,3
"8/7/2016 1:15:00 AM*",60,1538,4
"8/7/2016 1:30:00 AM*",63,1465,2
"8/7/2016 1:45:00 AM*",44.2,2086,1
"8/7/2016 2:00:00 AM*",58.9,1568,1
"8/7/2016 2:15:00 AM*",59.7,1546,1
"8/7/2016 3:00:00 AM*",61.4,1504,1
"8/7/2016 3:15:00 AM*",62.6,1475,4
"8/7/2016 3:30:00 AM*",59.6,1548,3
"8/7/2016 3:45:00 AM*",66.3,1392,3
"8/7/2016 4:15:00 AM*",58.5,1578,2
"8/7/2016 5:00:00 AM*",59.7,1547,1
"8/7/2016 5:30:00 AM",65.2,1416,6
"8/7/2016 5:45:00 AM*",65.2,1415,3
"8/7/2016 6:00:00 AM*",64.2,1438,2
"8/7/2016 6:30:00 AM*",63,1465,2
"8/7/2016 6:45:00 AM*",66.6,1385,11
"8/7/2016 7:00:00 AM",66.7,1384,9
"8/7/2016 7:15:00 AM*",65.7,1404,8
"8/7/2016 7:30:00 AM*",64.5,1430,9
"8/7/2016 7:45:00 AM",74.7,1236,20
"8/7/2016 8:00:00 AM*",66.3,1391,9
"8/7/2016 8:15:00 AM*",65.3,1414,13
"8/7/2016 8:30:00 AM*",65.2,1416,7
"8/7/2016 8:45:00 AM*",66.9,1380,12
"8/7/2016 9:00:00 AM*",64.8,1425,17
"8/7/2016 9:15:00 AM*",66.7,1384,11
